,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending,updated_github_id
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-12-22 11:26:34,2025-12-22 11:26:27,15830,698.0,794.0,114,5982.0,844.0,2241.0,21300,2025-10-23 10:51:56,1.14.1,46898.0,868.0,51.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2358.0,2358.0,534.0,34,False,1,,,
1,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,2023-08-26 09:21:36,2025-12-25 13:01:56,2025-12-25 13:01:56,12071,2530.0,658.0,74,2981.0,373.0,994.0,15971,2025-11-02 11:08:41,0.3.2,11649.0,1294.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",36.0,36.0,207.0,34,True,1,MIT,,
2,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-12-24 12:47:00,2025-12-24 12:47:00,1337,21.0,1157.0,72,1383.0,302.0,638.0,11645,2025-09-02 17:57:19,0.14.2,,,9.0,A native gRPC client & server implementation with async/await support.,49057.0,49057.0,300.0,33,True,1,MIT,,
3,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,2019-01-11 18:17:15,2025-12-18 15:05:46,2025-12-18 15:03:57,1596,39.0,851.0,51,2064.0,778.0,584.0,6421,2025-12-18 14:26:31,tracing-0.1.44,,,100.0,Application level tracing for Rust.,461521.0,461521.0,326.0,32,True,1,MIT,,
4,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-12-18 18:19:18,2025-12-18 18:18:54,969,31.0,136.0,10,500.0,63.0,271.0,2661,2025-12-18 18:22:52,1.45.0,383695.0,18271.0,15.0,A snapshot testing library for rust.,15127.0,15127.0,68.0,30,True,1,Apache-2.0,,
5,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-12-15 23:18:41,2025-12-15 22:18:23,1934,6.0,428.0,42,778.0,214.0,624.0,7917,2023-02-04 17:27:40,0.2.5,2849112.0,26380.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,142.0,29,True,1,Apache-2.0,,
6,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-12-25 16:11:25,2025-12-25 16:02:06,24525,696.0,1841.0,76,8110.0,2526.0,5708.0,12758,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,38.0,38.0,1330.0,28,False,1,,,
7,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,2019-05-13 07:50:05,2025-12-08 13:38:33,2025-12-08 13:37:49,527,14.0,112.0,12,436.0,85.0,275.0,2140,2025-12-08 13:38:18,0.18.9,5649065.0,73364.0,100.0,Cargo plugin for linting your dependencies.,100.0,100.0,75.0,28,True,1,Apache-2.0,,
8,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,2018-09-23 18:30:14,2025-10-28 00:01:21,2025-10-28 00:01:21,1400,3.0,191.0,28,723.0,10.0,360.0,4117,2025-09-25 21:46:53,3.1.0,,,59.0,An embedded key-value database in pure Rust.,1617.0,1617.0,35.0,27,True,2,Apache-2.0,-1.0,
9,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-12-23 03:31:20,2025-12-23 03:31:19,1095,28.0,198.0,19,334.0,132.0,167.0,1996,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,47816.0,47816.0,89.0,27,True,3,Apache-2.0,,
