,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-02-19 18:12:30,2026-02-19 17:49:53,14783,3742.0,733.0,78,3650.0,549.0,1294.0,17422,2026-01-30 11:04:49,0.4.4,14990.0,1873.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",61.0,61.0,264.0,36,True,1,,
1,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,,2020-05-04 08:53:03,2026-02-19 17:44:18,2026-02-19 15:03:43,16305,660.0,819.0,115,6368.0,831.0,2349.0,21784,2026-02-12 14:08:45,1.15.1,54170.0,967.0,53.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2403.0,2403.0,541.0,34,False,1,,
2,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,MIT,2019-08-09 17:59:37,2026-02-19 18:00:32,2026-02-19 16:31:55,1359,28.0,1175.0,73,1421.0,320.0,640.0,11854,2026-02-19 16:34:00,0.14.5,,,12.0,A native gRPC client & server implementation with async/await support.,50617.0,50617.0,306.0,33,True,1,,
3,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,MIT,2019-01-11 18:17:15,2026-02-13 11:44:12,2025-12-28 17:23:16,1598,23.0,866.0,50,2081.0,794.0,586.0,6532,2025-12-18 14:26:31,tracing-0.1.44,,,100.0,Application level tracing for Rust.,472225.0,472225.0,328.0,32,True,1,,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,Apache-2.0,2014-11-19 07:49:21,2026-02-19 17:23:03,2026-02-19 17:13:44,24878,524.0,1899.0,74,8260.0,2631.0,5783.0,12902,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,39.0,39.0,1362.0,30,True,1,,
5,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,Apache-2.0,2016-12-25 18:48:10,2026-02-06 18:48:38,2026-02-06 18:44:18,1957,28.0,434.0,42,786.0,215.0,634.0,8016,2023-02-04 17:27:40,0.2.5,3050376.0,27730.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,145.0,30,True,1,,
6,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,Apache-2.0,2019-01-13 22:25:41,2026-02-15 17:03:37,2026-02-15 17:03:37,986,32.0,141.0,10,521.0,70.0,274.0,2767,2026-02-02 14:14:01,1.46.3,502890.0,21864.0,20.0,A snapshot testing library for rust.,16145.0,16145.0,70.0,30,True,1,,
7,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,MIT,2022-02-16 06:38:36,2026-02-18 08:42:52,2026-02-18 08:42:33,678,66.0,84.0,11,225.0,19.0,154.0,2353,2026-02-18 09:15:47,0.22.1,398094.0,8293.0,100.0,Compile Cargo project with zig as linker.,150.0,150.0,41.0,28,True,3,2.0,
8,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0,2019-05-13 07:50:05,2026-02-06 00:22:04,2026-02-06 00:21:46,539,25.0,117.0,11,442.0,82.0,280.0,2208,2026-01-08 12:12:51,0.19.0,6273900.0,79416.0,100.0,Cargo plugin for linting your dependencies.,104.0,104.0,79.0,28,True,2,,
9,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,Apache-2.0,2017-06-18 17:38:03,2026-02-13 02:53:42,2026-02-05 03:05:58,1109,16.0,207.0,19,344.0,132.0,168.0,2044,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,50189.0,50189.0,93.0,28,True,3,,
