,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending,updated_github_id
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-08-21 16:47:19,2025-08-21 14:14:32,14649,601.0,720.0,111,5269.0,783.0,2044.0,20078,2025-06-25 15:29:44,1.12.1,35342.0,706.0,47.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2283.0,2283.0,457.0,34,False,1,,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-08-21 17:24:09,2025-08-20 16:02:27,1306,59.0,1116.0,75,1333.0,285.0,632.0,11273,2025-08-08 12:46:51,0.14.1,,,8.0,A native gRPC client & server implementation with async/await support.,46551.0,46551.0,290.0,34,True,1,MIT,,
2,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-07-18 17:05:34,2025-07-18 17:02:46,1920,3.0,414.0,50,770.0,202.0,615.0,7611,2023-02-04 17:27:40,0.2.5,2479388.0,23840.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,355.0,355.0,137.0,29,True,1,Apache-2.0,,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-08-06 04:22:42,2025-08-06 04:22:42,932,6.0,123.0,13,460.0,55.0,262.0,2558,2025-04-29 19:19:35,1.43.1,266754.0,15691.0,9.0,A snapshot testing library for rust.,13502.0,13502.0,62.0,29,True,1,Apache-2.0,,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-08-21 15:40:17,2025-08-21 15:31:22,23415,723.0,1741.0,84,7685.0,2473.0,5437.0,12378,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,36.0,36.0,1286.0,28,False,1,,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-07-20 18:30:19,2025-07-20 18:30:19,1047,18.0,188.0,19,312.0,132.0,162.0,1915,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,44609.0,44609.0,83.0,27,True,3,Apache-2.0,,
6,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-08-21 15:22:08,2025-08-21 14:48:22,18967,1425.0,392.0,55,3419.0,161.0,950.0,5381,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,329.0,25,True,2,Apache-2.0,,
7,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-08-20 11:03:08,2025-08-20 11:03:08,732,38.0,143.0,14,101.0,3.0,281.0,1513,2025-06-05 04:54:58,2.0.0-rc.10,,,31.0,Fast ML inference & training for ONNX models in Rust.,3272.0,3272.0,51.0,25,True,1,Apache-2.0,-1.0,
8,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-08-21 16:16:41,2025-08-21 16:05:21,5698,113.0,118.0,8,890.0,103.0,457.0,556,2025-07-16 18:56:30,zbus-5.9.0,,,100.0,Rust D-Bus crate.,39237.0,39237.0,119.0,25,False,1,,,
9,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-07-18 00:25:28,2025-07-18 00:25:09,605,9.0,74.0,12,177.0,35.0,126.0,2043,2025-07-18 00:25:59,0.20.1,241944.0,5760.0,94.0,Compile Cargo project with zig as linker.,145.0,145.0,34.0,24,True,3,MIT,,
10,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,2018-12-07 07:25:31,2025-08-18 21:05:44,2025-08-18 21:05:44,3971,80.0,154.0,30,738.0,50.0,318.0,1619,,,315.0,4.0,100.0,Rust Bindings for the Skia Graphics Library.,9.0,9.0,65.0,23,True,1,MIT,,
11,ntpd-rs,pendulum-project/ntpd-rs,[],time-sync,https://github.com/pendulum-project/ntpd-rs,https://github.com/pendulum-project/ntpd-rs,2022-03-04 19:15:34,2025-08-20 08:21:11,2025-08-20 08:18:00,2857,80.0,57.0,17,1655.0,44.0,236.0,928,2025-07-16 07:56:50,1.6.1,4817.0,130.0,34.0,"A full-featured implementation of the Network Time Protocol, including NTS support.",11.0,11.0,34.0,22,False,1,,,
12,ros2_rust,ros2-rust/ros2_rust,[],robotics,https://github.com/ros2-rust/ros2_rust,https://github.com/ros2-rust/ros2_rust,2017-11-26 10:45:09,2025-08-21 15:22:54,2025-08-21 15:22:54,296,18.0,165.0,40,304.0,55.0,132.0,1177,2025-08-20 14:22:59,0.5.0,,,6.0,Rust bindings for ROS 2.,,,49.0,21,True,1,Apache-2.0,1.0,
13,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,https://github.com/rust-embedded/linux-embedded-hal,2018-01-16 23:34:53,2025-02-07 09:21:52,2025-02-07 09:20:44,213,,47.0,21,78.0,22.0,21.0,273,2024-01-12 09:32:50,0.4.0,,,5.0,Implementation of the `embedded-hal` traits for Linux devices.,1498.0,1498.0,29.0,21,True,1,Apache-2.0,,
14,rust-i2cdev,rust-embedded/rust-i2cdev,[],character-device-drivers,https://github.com/rust-embedded/rust-i2cdev,https://github.com/rust-embedded/rust-i2cdev,2015-08-19 04:21:00,2025-07-30 09:41:19,2025-07-30 09:34:13,222,3.0,55.0,18,61.0,6.0,26.0,219,2023-08-09 07:58:32,0.6.0,,,3.0,Rust library for interfacing with i2c devices under Linux.,1052.0,1052.0,30.0,21,True,1,Apache-2.0,,
15,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,https://github.com/siemens/kas,2017-06-13 12:11:57,2025-08-11 13:21:33,2025-08-11 13:15:55,1084,36.0,185.0,24,46.0,23.0,97.0,477,,,,,,Setup tool for bitbake based projects.,93.0,93.0,80.0,20,True,1,MIT,-1.0,
