,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-05-29 13:59:59,2025-05-28 13:17:26,14064,667.0,673.0,107,4856.0,744.0,1899.0,19214.0,2025-04-23 10:34:25,1.11.0,30008.0,638.0,45.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2193.0,2193.0,377.0,34,False,1,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-05-22 23:26:22,2025-05-22 23:26:21,1247,58.0,1068.0,77,1259.0,287.0,618.0,10919.0,2025-05-05 14:56:37,0.13.1,,,6.0,A native gRPC client & server implementation with async/await support.,44578.0,44578.0,275.0,33,True,1,MIT,
2,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-05-24 08:34:48,2025-05-24 08:31:48,1918,28.0,402.0,51,767.0,193.0,611.0,7373.0,2023-02-04 17:27:40,0.2.5,2257305.0,22349.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,351.0,351.0,136.0,30,True,1,Apache-2.0,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-05-16 22:12:02,2025-05-16 22:12:02,926,36.0,121.0,13,452.0,55.0,257.0,2497.0,2025-04-29 19:19:35,1.43.1,168189.0,12013.0,9.0,A snapshot testing library for rust.,12570.0,12570.0,60.0,30,True,1,Apache-2.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-05-28 16:33:52,2025-05-28 16:26:14,22690,726.0,1646.0,85,7363.0,2343.0,5254.0,12103.0,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,35.0,35.0,1240.0,28,False,1,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-05-27 07:48:58,2025-05-24 22:09:49,1032,10.0,179.0,19,302.0,119.0,161.0,1880.0,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,42832.0,42832.0,78.0,27,True,3,Apache-2.0,1.0
6,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-05-29 10:53:10,2025-05-29 10:21:35,17623,1054.0,370.0,58,3284.0,138.0,922.0,5154.0,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,316.0,25,True,2,Apache-2.0,
7,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-04-26 06:31:55,2025-04-26 06:31:28,596,12.0,70.0,12,169.0,31.0,119.0,1938.0,2025-04-26 06:33:13,0.20.0,199109.0,5105.0,93.0,Compile Cargo project with zig as linker.,137.0,137.0,31.0,25,True,3,MIT,
8,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-05-22 18:40:21,2025-05-22 18:40:17,694,92.0,129.0,14,87.0,1.0,251.0,1331.0,2024-11-21 20:47:00,2.0.0-rc.9,,,30.0,Fast ML inference & training for ONNX models in Rust.,3067.0,3067.0,44.0,25,True,1,Apache-2.0,
9,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-05-27 23:24:00,2025-05-27 23:12:35,5588,173.0,111.0,7,820.0,98.0,447.0,496.0,2025-05-20 18:54:14,zbus-5.7.1,,,100.0,Rust D-Bus crate.,36689.0,36689.0,117.0,25,False,1,,
10,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,2018-12-07 07:25:31,2025-05-29 14:59:11,2025-05-29 14:58:09,3906,77.0,150.0,27,714.0,49.0,309.0,1584.0,,,352.0,4.0,100.0,Rust Bindings for the Skia Graphics Library.,9.0,9.0,60.0,23,True,1,MIT,
11,ntpd-rs,pendulum-project/ntpd-rs,[],time-sync,https://github.com/pendulum-project/ntpd-rs,https://github.com/pendulum-project/ntpd-rs,2022-03-04 19:15:34,2025-05-26 02:01:29,2025-05-15 19:15:06,2777,25.0,48.0,18,1603.0,38.0,235.0,882.0,2025-02-28 11:36:15,1.5.0,3182.0,93.0,32.0,"A full-featured implementation of the Network Time Protocol, including NTS support.",10.0,10.0,33.0,21,False,1,,
12,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,https://github.com/siemens/kas,2017-06-13 12:11:57,2025-05-28 14:21:31,2025-05-27 15:39:49,1055,75.0,172.0,26,46.0,18.0,91.0,455.0,,,,,,Setup tool for bitbake based projects.,89.0,89.0,79.0,21,True,1,MIT,
13,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,https://github.com/rust-embedded/linux-embedded-hal,2018-01-16 23:34:53,2025-02-07 09:21:52,2025-02-07 09:20:44,213,,45.0,21,78.0,20.0,21.0,262.0,2024-01-12 09:32:50,0.4.0,,,5.0,Implementation of the `embedded-hal` traits for Linux devices.,1442.0,1442.0,29.0,21,True,1,Apache-2.0,
14,rust-i2cdev,rust-embedded/rust-i2cdev,[],character-device-drivers,https://github.com/rust-embedded/rust-i2cdev,https://github.com/rust-embedded/rust-i2cdev,2015-08-19 04:21:00,2025-03-04 21:00:16,2025-03-04 20:56:31,219,2.0,54.0,19,60.0,6.0,26.0,219.0,2023-08-09 07:58:32,0.6.0,,,3.0,Rust library for interfacing with i2c devices under Linux.,1039.0,1039.0,29.0,20,True,1,Apache-2.0,
15,divan,nvzqz/divan,[],tools,https://github.com/nvzqz/divan,https://github.com/nvzqz/divan,2023-06-30 05:01:57,2025-04-17 04:02:42,2025-04-14 22:32:17,480,24.0,33.0,9,26.0,36.0,13.0,1152.0,,,,,,Fast and simple benchmarking for Rust projects.,1114.0,1114.0,9.0,19,True,2,Apache-2.0,
16,ros2_rust,ros2-rust/ros2_rust,[],robotics,https://github.com/ros2-rust/ros2_rust,https://github.com/ros2-rust/ros2_rust,2017-11-26 10:45:09,2025-05-14 18:11:09,2025-05-14 18:11:09,278,5.0,153.0,41,281.0,57.0,124.0,1127.0,2023-11-28 15:50:17,0.4.1,,,5.0,Rust bindings for ROS 2.,,,47.0,19,True,1,Apache-2.0,
17,rosrust,adnanademovic/rosrust,[],robotics,https://github.com/adnanademovic/rosrust,https://github.com/adnanademovic/rosrust,2016-07-12 11:05:32,2025-02-03 22:32:01,2025-02-03 22:31:20,708,,76.0,23,104.0,49.0,72.0,758.0,2020-08-24 14:04:42,0.9.5,,,19.0,Pure Rust implementation of a ROS client library.,234.0,234.0,19.0,19,True,1,MIT,
18,opcua,locka99/opcua,[],icsp,https://github.com/locka99/opcua,https://github.com/locka99/opcua,2017-01-07 09:48:09,2025-04-08 02:12:35,2024-10-08 20:19:22,2200,,144.0,20,198.0,111.0,126.0,543.0,,,,,,A client and server implementation of the OPC UA specification written in Rust.,51.0,51.0,31.0,18,True,1,MPL-2.0,
