,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending,updated_github_id
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-09-18 17:26:30,2025-09-18 11:10:49,14844,610.0,739.0,112,5413.0,786.0,2097.0,20374,2025-09-11 08:21:48,1.13.1,38184.0,748.0,49.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2295.0,2295.0,490.0,34,False,1,,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-09-02 17:57:19,2025-08-29 20:19:03,1315,55.0,1131.0,75,1346.0,286.0,634.0,11350,2025-09-02 17:57:19,0.14.2,,,9.0,A native gRPC client & server implementation with async/await support.,46993.0,46993.0,292.0,34,True,1,MIT,,
2,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-09-10 21:13:21,2025-09-10 21:13:21,938,10.0,126.0,13,467.0,60.0,265.0,2576,2025-09-04 18:39:02,1.43.2,291246.0,16180.0,10.0,A snapshot testing library for rust.,13770.0,13770.0,62.0,30,True,1,Apache-2.0,,
3,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-09-01 20:45:29,2025-09-01 20:32:25,1924,5.0,414.0,50,771.0,202.0,616.0,7683,2023-02-04 17:27:40,0.2.5,2558853.0,24370.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,358.0,358.0,138.0,29,True,1,Apache-2.0,,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-09-18 16:21:05,2025-09-18 15:40:20,23757,828.0,1776.0,84,7799.0,2473.0,5513.0,12446,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,36.0,36.0,1300.0,28,False,1,,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-09-16 05:52:45,2025-09-16 05:52:44,1056,11.0,190.0,19,314.0,132.0,163.0,1928,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,45049.0,45049.0,83.0,27,True,3,Apache-2.0,,
6,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-09-18 06:32:40,2025-09-18 06:32:39,752,48.0,151.0,15,105.0,3.0,289.0,1564,2025-06-05 04:54:58,2.0.0-rc.10,,,31.0,Fast ML inference & training for ONNX models in Rust.,3309.0,3309.0,55.0,27,True,1,Apache-2.0,1.0,
7,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-09-17 20:37:37,2025-09-17 20:09:51,19331,1283.0,392.0,55,3465.0,161.0,957.0,5453,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,331.0,25,True,2,Apache-2.0,,
8,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-09-16 13:14:07,2025-09-16 13:02:45,5748,146.0,119.0,8,926.0,102.0,459.0,564,2025-09-09 09:11:05,zbus-5.11.0,,,100.0,Rust D-Bus crate.,39790.0,39790.0,122.0,25,False,1,,,
9,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-09-13 08:31:03,2025-09-02 13:06:24,607,9.0,75.0,11,180.0,36.0,126.0,2079,2025-07-18 00:25:59,0.20.1,259577.0,6036.0,94.0,Compile Cargo project with zig as linker.,145.0,145.0,34.0,24,True,3,MIT,,
