,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-01-22 16:39:31,2026-01-22 16:39:30,13234,2703.0,695.0,78,3272.0,451.0,1096.0,16632,2026-01-12 10:54:59,0.4.3,14280.0,1785.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",50.0,50.0,217.0,35,True,1,,
1,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,,2020-05-04 08:53:03,2026-01-22 15:29:47,2026-01-22 15:29:46,16011,633.0,807.0,114,6124.0,855.0,2283.0,21524,2025-10-23 10:51:56,1.14.1,50473.0,917.0,51.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2370.0,2370.0,537.0,34,False,1,,
2,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,MIT,2019-08-09 17:59:37,2026-01-16 12:04:42,2026-01-16 12:04:42,1343,21.0,1157.0,72,1395.0,302.0,638.0,11746,2025-09-02 17:57:19,0.14.2,,,9.0,A native gRPC client & server implementation with async/await support.,49769.0,49769.0,303.0,33,True,1,,
3,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,MIT,2019-01-11 18:17:15,2025-12-28 17:23:18,2025-12-28 17:23:16,1598,41.0,851.0,50,2070.0,778.0,586.0,6466,2025-12-18 14:26:31,tracing-0.1.44,,,100.0,Application level tracing for Rust.,466374.0,466374.0,326.0,32,True,1,,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,Apache-2.0,2014-11-19 07:49:21,2026-01-22 16:09:22,2026-01-22 16:00:49,24764,624.0,1886.0,74,8184.0,2573.0,5752.0,12837,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,38.0,38.0,1348.0,30,True,1,,
5,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,Apache-2.0,2016-12-25 18:48:10,2026-01-19 07:33:06,2026-01-19 07:29:32,1954,25.0,432.0,42,785.0,214.0,631.0,7967,2023-02-04 17:27:40,0.2.5,2944959.0,27017.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,145.0,30,True,1,,
6,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,Apache-2.0,2019-01-13 22:25:41,2026-01-15 18:09:56,2026-01-15 18:09:30,977,37.0,140.0,10,510.0,66.0,271.0,2713,2026-01-15 18:13:41,1.46.1,420032.0,19092.0,18.0,A snapshot testing library for rust.,15607.0,15607.0,69.0,30,True,1,,
7,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0,2019-05-13 07:50:05,2026-01-08 12:12:42,2026-01-08 12:12:00,538,25.0,114.0,11,441.0,81.0,280.0,2184,2026-01-08 12:12:51,0.19.0,5942324.0,76183.0,100.0,Cargo plugin for linting your dependencies.,104.0,104.0,79.0,28,True,2,,
8,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,Apache-2.0,2017-06-18 17:38:03,2025-12-23 03:31:20,2025-12-23 03:31:19,1095,21.0,201.0,19,337.0,132.0,167.0,2022,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,48902.0,48902.0,89.0,27,True,3,,
9,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,Apache-2.0,2022-11-26 19:26:15,2026-01-22 12:04:09,2026-01-22 12:04:09,840,78.0,196.0,15,119.0,4.0,324.0,1915,2026-01-07 21:40:02,2.0.0-rc.11,,,32.0,Fast ML inference & training for ONNX models in Rust.,3637.0,3637.0,63.0,27,True,1,,
10,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2026-01-17 20:18:29,2026-01-17 20:18:27,1401,2.0,193.0,28,724.0,11.0,360.0,4164,2025-09-25 21:46:53,3.1.0,,,59.0,An embedded key-value database in pure Rust.,1694.0,1694.0,35.0,26,True,2,1.0,
11,russh,Eugeny/russh,['pure-rust'],ssh,https://github.com/Eugeny/russh,https://github.com/Eugeny/russh,Apache-2.0,2022-02-07 22:04:56,2026-01-01 21:35:01,2026-01-01 21:35:01,755,22.0,185.0,5,373.0,53.0,177.0,1546,2025-12-22 23:46:16,0.56.0,,,56.0,Rust SSH client & server library.,1745.0,1745.0,93.0,26,True,1,,
12,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,Apache-2.0,2015-11-12 21:51:25,2026-01-22 08:17:57,2026-01-22 07:53:35,20854,1088.0,417.0,52,3651.0,163.0,996.0,5837,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,356.0,25,True,2,,
