,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-07-10 15:03:27,2025-07-10 09:35:28,14355,679.0,699.0,111,5072.0,754.0,1962.0,19807.0,2025-06-25 15:29:44,1.12.1,32891.0,671.0,47.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2255.0,2255.0,423.0,34,False,1,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-07-03 14:51:00,2025-07-03 14:50:59,1269,45.0,1094.0,77,1291.0,297.0,620.0,11091.0,2025-05-05 14:56:37,0.13.1,,,6.0,A native gRPC client & server implementation with async/await support.,45616.0,45616.0,284.0,33,True,1,MIT,
2,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-05-24 08:34:48,2025-05-24 08:31:48,1918,17.0,407.0,50,768.0,201.0,614.0,7493.0,2023-02-04 17:27:40,0.2.5,2366267.0,22973.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,353.0,353.0,136.0,30,True,1,Apache-2.0,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-07-06 01:38:03,2025-07-06 01:38:03,931,11.0,122.0,13,457.0,55.0,261.0,2531.0,2025-04-29 19:19:35,1.43.1,217909.0,13619.0,9.0,A snapshot testing library for rust.,13060.0,13060.0,62.0,30,True,1,Apache-2.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-07-09 22:05:15,2025-07-09 21:55:36,23022,677.0,1701.0,83,7519.0,2454.0,5343.0,12259.0,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,35.0,35.0,1263.0,28,False,1,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-06-20 02:36:03,2025-06-20 02:36:02,1045,18.0,185.0,19,310.0,132.0,162.0,1898.0,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,43810.0,43810.0,82.0,27,True,3,Apache-2.0,
6,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-07-07 05:19:23,2025-07-07 05:19:20,714,49.0,140.0,14,90.0,1.0,273.0,1431.0,2025-06-05 04:54:58,2.0.0-rc.10,,,31.0,Fast ML inference & training for ONNX models in Rust.,3198.0,3198.0,45.0,26,True,1,Apache-2.0,
7,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-07-10 07:24:49,2025-07-10 06:57:45,18343,1350.0,376.0,56,3362.0,146.0,936.0,5277.0,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,322.0,25,True,2,Apache-2.0,
8,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-06-30 08:09:50,2025-06-30 08:09:50,601,14.0,72.0,12,174.0,34.0,121.0,1997.0,2025-04-26 06:33:13,0.20.0,217472.0,5304.0,93.0,Compile Cargo project with zig as linker.,145.0,145.0,33.0,25,True,3,MIT,
9,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-07-10 03:28:45,2025-07-10 03:17:01,5632,167.0,116.0,8,850.0,105.0,453.0,530.0,2025-07-07 20:43:54,zbus-5.8.0,,,100.0,Rust D-Bus crate.,38466.0,38466.0,119.0,25,False,1,,
