,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending,updated_github_id
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-10-02 14:50:55,2025-10-02 14:50:16,15191,836.0,747.0,112,5513.0,799.0,2118.0,20495,2025-09-11 08:21:48,1.13.1,39010.0,750.0,49.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2301.0,2301.0,507.0,34,False,1,,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-09-20 12:29:12,2025-09-20 12:29:12,1316,47.0,1137.0,75,1346.0,286.0,634.0,11383,2025-09-02 17:57:19,0.14.2,,,9.0,A native gRPC client & server implementation with async/await support.,47243.0,47243.0,292.0,34,True,1,MIT,,
2,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-09-26 13:55:13,2025-09-26 13:47:09,1927,8.0,415.0,49,775.0,205.0,616.0,7723,2023-02-04 17:27:40,0.2.5,2600922.0,24537.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,358.0,358.0,140.0,29,True,1,Apache-2.0,,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-09-10 21:13:21,2025-09-10 21:13:21,938,8.0,126.0,13,467.0,60.0,265.0,2587,2025-09-04 18:39:02,1.43.2,303313.0,15963.0,10.0,A snapshot testing library for rust.,13932.0,13932.0,62.0,29,True,1,Apache-2.0,-1.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-10-01 22:17:49,2025-10-01 22:02:53,23864,821.0,1779.0,83,7858.0,2483.0,5544.0,12493,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,37.0,37.0,1303.0,28,False,1,,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-09-30 03:34:34,2025-09-30 03:33:04,1069,24.0,195.0,19,320.0,136.0,166.0,1937,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,45310.0,45310.0,84.0,27,True,3,Apache-2.0,,
6,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-10-02 16:53:14,2025-10-02 16:53:14,761,48.0,155.0,15,107.0,3.0,296.0,1597,2025-06-05 04:54:58,2.0.0-rc.10,,,31.0,Fast ML inference & training for ONNX models in Rust.,3332.0,3332.0,56.0,27,True,1,Apache-2.0,,
7,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-10-02 08:17:44,2025-10-02 07:50:43,19512,1248.0,392.0,55,3485.0,161.0,959.0,5482,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,332.0,25,True,2,Apache-2.0,,
8,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-09-30 11:49:51,2025-09-30 11:38:38,5775,150.0,119.0,8,940.0,102.0,463.0,563,2025-09-09 09:11:05,zbus-5.11.0,,,100.0,Rust D-Bus crate.,40038.0,40038.0,124.0,25,False,1,,,
9,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-10-01 10:02:37,2025-09-02 13:06:24,607,6.0,74.0,11,181.0,37.0,126.0,2129,2025-07-18 00:25:59,0.20.1,268784.0,6108.0,94.0,Compile Cargo project with zig as linker.,145.0,145.0,34.0,24,True,3,MIT,,
