,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-06-26 17:15:28,2025-06-26 16:45:37,14263,709.0,697.0,108,5006.0,751.0,1948.0,19587.0,2025-06-25 15:29:44,1.12.1,31874.0,664.0,47.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2246.0,2246.0,412.0,34,False,1,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-06-26 00:02:24,2025-06-26 00:02:22,1261,43.0,1094.0,77,1276.0,297.0,620.0,11035.0,2025-05-05 14:56:37,0.13.1,,,6.0,A native gRPC client & server implementation with async/await support.,45376.0,45376.0,282.0,33,True,1,MIT,
2,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-05-24 08:34:48,2025-05-24 08:31:48,1918,18.0,405.0,51,767.0,197.0,612.0,7450.0,2023-02-04 17:27:40,0.2.5,2328798.0,22831.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,353.0,353.0,136.0,30,True,1,Apache-2.0,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-06-18 00:59:02,2025-06-18 00:59:02,928,20.0,121.0,13,454.0,55.0,259.0,2520.0,2025-04-29 19:19:35,1.43.1,202619.0,13507.0,9.0,A snapshot testing library for rust.,12922.0,12922.0,60.0,30,True,1,Apache-2.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-06-26 17:55:37,2025-06-26 17:48:02,22935,718.0,1700.0,83,7470.0,2446.0,5310.0,12208.0,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,35.0,35.0,1257.0,28,False,1,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-06-20 02:36:03,2025-06-20 02:36:02,1045,18.0,185.0,19,307.0,132.0,162.0,1893.0,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,43562.0,43562.0,82.0,27,True,3,Apache-2.0,
6,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-06-18 18:38:15,2025-06-18 18:38:00,704,52.0,136.0,14,87.0,2.0,271.0,1389.0,2025-06-05 04:54:58,2.0.0-rc.10,,,31.0,Fast ML inference & training for ONNX models in Rust.,3182.0,3182.0,44.0,26,True,1,Apache-2.0,
7,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-06-26 14:14:02,2025-06-26 13:46:40,18038,1175.0,375.0,56,3327.0,145.0,928.0,5224.0,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,320.0,25,True,2,Apache-2.0,
8,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-06-23 12:13:11,2025-06-23 12:13:11,599,12.0,71.0,12,172.0,32.0,121.0,1979.0,2025-04-26 06:33:13,0.20.0,210484.0,5262.0,93.0,Compile Cargo project with zig as linker.,141.0,141.0,32.0,25,True,3,MIT,
9,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-06-22 14:08:27,2025-06-22 13:56:56,5612,156.0,114.0,7,838.0,98.0,449.0,519.0,2025-05-20 18:54:14,zbus-5.7.1,,,100.0,Rust D-Bus crate.,38172.0,38172.0,118.0,25,False,1,,
