,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending,updated_github_id
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-09-04 11:56:44,2025-09-04 11:56:44,14733,588.0,729.0,113,5332.0,787.0,2060.0,20184,2025-09-03 14:33:58,1.13.0,36499.0,715.0,48.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2287.0,2287.0,469.0,34,False,1,,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-09-02 17:57:19,2025-08-29 20:19:03,1315,68.0,1127.0,75,1344.0,283.0,633.0,11314,2025-09-02 17:57:19,0.14.2,,,9.0,A native gRPC client & server implementation with async/await support.,46765.0,46765.0,292.0,34,True,1,MIT,,
2,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-09-04 16:46:26,2025-09-04 16:46:26,936,10.0,125.0,13,466.0,55.0,264.0,2568,2025-04-29 19:19:35,1.43.1,277690.0,15427.0,9.0,A snapshot testing library for rust.,13655.0,13655.0,62.0,30,True,1,Apache-2.0,1.0,
3,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-09-01 20:45:29,2025-09-01 20:32:25,1924,5.0,413.0,50,771.0,202.0,616.0,7640,2023-02-04 17:27:40,0.2.5,2518046.0,23981.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,356.0,356.0,138.0,29,True,1,Apache-2.0,1.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-09-02 14:16:15,2025-09-02 14:08:02,23615,794.0,1751.0,82,7738.0,2473.0,5483.0,12410,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,36.0,36.0,1293.0,28,False,1,,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-09-04 04:40:27,2025-07-20 18:30:19,1047,5.0,189.0,19,313.0,132.0,162.0,1919,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,44833.0,44833.0,83.0,26,True,3,Apache-2.0,,
6,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-09-04 07:18:40,2025-09-04 06:48:16,19177,1362.0,392.0,55,3444.0,161.0,954.0,5415,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,332.0,25,True,2,Apache-2.0,,
7,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-09-04 16:46:37,2025-09-04 16:45:56,741,40.0,148.0,15,103.0,3.0,287.0,1547,2025-06-05 04:54:58,2.0.0-rc.10,,,31.0,Fast ML inference & training for ONNX models in Rust.,3291.0,3291.0,53.0,25,True,1,Apache-2.0,,
8,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-09-04 11:02:54,2025-09-04 10:51:27,5724,129.0,119.0,8,907.0,101.0,459.0,560,2025-08-24 19:30:38,zbus-5.10.0,,,100.0,Rust D-Bus crate.,39477.0,39477.0,122.0,25,False,1,,,
9,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-09-02 13:06:26,2025-09-02 13:06:24,607,9.0,75.0,11,180.0,35.0,126.0,2059,2025-07-18 00:25:59,0.20.1,249525.0,5802.0,94.0,Compile Cargo project with zig as linker.,145.0,145.0,34.0,24,True,3,MIT,,
10,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,2018-12-07 07:25:31,2025-09-03 15:08:36,2025-09-03 15:03:09,4018,110.0,154.0,30,747.0,50.0,321.0,1630,,,315.0,4.0,100.0,Rust Bindings for the Skia Graphics Library.,9.0,9.0,65.0,23,True,1,MIT,,
11,ntpd-rs,pendulum-project/ntpd-rs,[],time-sync,https://github.com/pendulum-project/ntpd-rs,https://github.com/pendulum-project/ntpd-rs,2022-03-04 19:15:34,2025-09-01 03:52:39,2025-08-29 07:49:14,2858,80.0,58.0,17,1660.0,46.0,236.0,936,2025-08-29 13:50:09,1.6.2,4996.0,131.0,35.0,"A full-featured implementation of the Network Time Protocol, including NTS support.",11.0,11.0,34.0,22,False,1,,,
12,ros2_rust,ros2-rust/ros2_rust,[],robotics,https://github.com/ros2-rust/ros2_rust,https://github.com/ros2-rust/ros2_rust,2017-11-26 10:45:09,2025-09-03 01:58:27,2025-09-02 17:40:23,304,24.0,165.0,39,314.0,56.0,134.0,1196,2025-08-23 15:02:04,0.5.1,,,7.0,Rust bindings for ROS 2.,,,49.0,21,True,1,Apache-2.0,,
13,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,https://github.com/rust-embedded/linux-embedded-hal,2018-01-16 23:34:53,2025-02-07 09:21:52,2025-02-07 09:20:44,213,,47.0,21,78.0,22.0,21.0,274,2024-01-12 09:32:50,0.4.0,,,5.0,Implementation of the `embedded-hal` traits for Linux devices.,1506.0,1506.0,29.0,21,True,1,Apache-2.0,,
14,rust-i2cdev,rust-embedded/rust-i2cdev,[],character-device-drivers,https://github.com/rust-embedded/rust-i2cdev,https://github.com/rust-embedded/rust-i2cdev,2015-08-19 04:21:00,2025-07-30 09:41:19,2025-07-30 09:34:13,222,3.0,55.0,18,61.0,6.0,26.0,219,2023-08-09 07:58:32,0.6.0,,,3.0,Rust library for interfacing with i2c devices under Linux.,1053.0,1053.0,30.0,21,True,1,Apache-2.0,,
15,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,https://github.com/siemens/kas,2017-06-13 12:11:57,2025-08-11 13:21:33,2025-08-11 13:15:55,1084,22.0,185.0,24,47.0,23.0,97.0,482,,,,,,Setup tool for bitbake based projects.,96.0,96.0,80.0,20,True,1,MIT,,
16,rosrust,adnanademovic/rosrust,[],robotics,https://github.com/adnanademovic/rosrust,https://github.com/adnanademovic/rosrust,2016-07-12 11:05:32,2025-02-03 22:32:01,2025-02-03 22:31:20,708,,77.0,23,104.0,49.0,72.0,767,2020-08-24 14:04:42,0.9.5,,,19.0,Pure Rust implementation of a ROS client library.,234.0,234.0,19.0,19,True,3,MIT,,
17,actions-rust-cross,houseabsolute/actions-rust-cross,[],ci,https://github.com/houseabsolute/actions-rust-cross,https://github.com/houseabsolute/actions-rust-cross,2023-03-05 16:57:05,2025-07-20 18:26:16,2025-07-20 18:26:11,126,3.0,21.0,2,8.0,5.0,32.0,183,2025-07-20 18:10:08,1.0.5,,,24.0,GitHub Action to compile Rust with cross.,1178.0,1178.0,7.0,19,True,1,Apache-2.0,,
18,rs-matter,project-chip/rs-matter,[],home-automation-protocols,https://github.com/project-chip/rs-matter,https://github.com/project-chip/rs-matter,2022-12-12 16:43:43,2025-08-28 09:26:41,2025-08-28 09:26:41,665,62.0,50.0,43,210.0,33.0,53.0,419,,,,,,Rust implementation of the Matter protocol. Status: Experimental.,7.0,7.0,28.0,18,True,1,Apache-2.0,,
19,gpio-cdev,rust-embedded/gpio-cdev,[],character-device-drivers,https://github.com/rust-embedded/gpio-cdev,https://github.com/rust-embedded/gpio-cdev,2018-03-03 23:48:44,2025-07-03 07:05:28,2025-07-03 07:02:51,132,4.0,39.0,20,49.0,10.0,26.0,223,2023-09-12 07:13:07,0.6.0,,,3.0,Rust interface to the Linux GPIO Character Device API (/dev/gpiochip...).,505.0,505.0,18.0,18,True,3,Apache-2.0,,
20,divan,nvzqz/divan,[],tools,https://github.com/nvzqz/divan,https://github.com/nvzqz/divan,2023-06-30 05:01:57,2025-04-17 04:02:42,2025-04-14 22:32:17,480,,34.0,9,26.0,38.0,13.0,1219,,,,,,Fast and simple benchmarking for Rust projects.,1260.0,1260.0,9.0,17,True,2,Apache-2.0,,
21,opcua,locka99/opcua,[],icsp,https://github.com/locka99/opcua,https://github.com/locka99/opcua,2017-01-07 09:48:09,2025-04-08 02:12:35,2024-10-08 20:19:22,2200,,145.0,20,198.0,111.0,127.0,552,,,,,,A client and server implementation of the OPC UA specification written in Rust.,54.0,54.0,31.0,17,True,1,MPL-2.0,,
22,statime,pendulum-project/statime,[],time-sync,https://github.com/pendulum-project/statime,https://github.com/pendulum-project/statime,2022-01-04 09:29:54,2025-09-04 13:18:18,2025-06-26 12:13:38,855,14.0,26.0,11,653.0,19.0,34.0,255,2025-03-13 09:48:42,0.4.0,542.0,23.0,11.0,Implementation of the Precision Time Protocol (PTP) in Rust.,5.0,5.0,22.0,17,False,3,,-1.0,
23,rust-fsm,eugene-babichenko/rust-fsm,[],fsm,https://github.com/eugene-babichenko/rust-fsm,https://github.com/eugene-babichenko/rust-fsm,2019-01-20 12:51:27,2025-07-21 09:41:06,2025-07-21 09:40:08,106,8.0,23.0,3,9.0,1.0,5.0,221,2025-07-21 09:44:10,0.8.0,,,5.0,Finite state machine framework for Rust with readable specifications.,160.0,160.0,7.0,17,True,1,MIT,,
24,embedded-hal-mock,dbrgn/embedded-hal-mock,[],hal,https://github.com/dbrgn/embedded-hal-mock,https://github.com/dbrgn/embedded-hal-mock,2018-03-25 13:08:52,2025-08-26 02:34:49,2025-08-26 02:34:46,185,2.0,25.0,8,103.0,10.0,22.0,134,,,,,,Mocks for testing embedded-hal based drivers without hardware access.,1043.0,1043.0,24.0,17,True,3,Apache-2.0,,
25,rust-ocpp,codelabsab/rust-ocpp,[],smart-grid-protocols,https://github.com/tommymalmqvist/rust-ocpp,https://github.com/tommymalmqvist/rust-ocpp,2021-06-04 08:32:04,2025-09-03 17:59:10,2025-09-03 17:59:10,306,5.0,27.0,8,157.0,4.0,26.0,92,2025-04-11 13:27:04,3.0.1,,,9.0,"Libraries for ocpp 1.6, 2.0.1 and 2.1.",25.0,25.0,11.0,17,False,1,Apache-2.0,,tommymalmqvist/rust-ocpp
26,meta-rust,meta-rust/meta-rust,[],yocto-layers,https://github.com/meta-rust/meta-rust,https://github.com/meta-rust/meta-rust,2014-10-20 21:31:22,2025-08-31 22:23:04,2025-08-20 21:15:18,976,15.0,132.0,22,284.0,63.0,103.0,227,,,,,,OpenEmbedded/Yocto layer for Rust and Cargo.,,,64.0,16,True,1,MIT,,
27,rust-spidev,rust-embedded/rust-spidev,[],character-device-drivers,https://github.com/rust-embedded/rust-spidev,https://github.com/rust-embedded/rust-spidev,2015-04-23 05:40:20,2025-03-04 10:07:15,2025-03-04 10:04:36,150,,32.0,16,37.0,1.0,10.0,131,2025-03-04 10:07:34,0.7.0,,,5.0,Rust library providing access to spidev devices under Linux.,823.0,823.0,16.0,16,True,3,Apache-2.0,-1.0,
28,rugix,silitics/rugix,[],tools,https://github.com/silitics/rugix,https://github.com/silitics/rugix,2023-05-18 20:21:06,2025-09-04 15:38:58,2025-09-04 15:38:53,823,87.0,12.0,5,12.0,12.0,54.0,100,2025-07-15 21:36:10,0.8.13,319.0,15.0,32.0,A suite of open-source tools to build and deploy reliable embedded Linux devices at scale with efficient and secure..,,,6.0,16,True,3,Apache-2.0,,
29,statig,mdeloof/statig,[],fsm,https://github.com/mdeloof/statig,https://github.com/mdeloof/statig,2021-08-19 20:51:31,2025-07-05 14:56:13,2025-07-05 14:56:07,164,9.0,31.0,7,32.0,4.0,35.0,707,,,,,,Hierarchical state machines for designing event-driven systems.,42.0,42.0,14.0,15,True,2,MIT,,
30,dbus-rs,diwic/dbus-rs,['dbus'],ipc,https://github.com/diwic/dbus-rs,https://github.com/diwic/dbus-rs,2014-11-23 12:14:49,2025-09-02 03:31:50,2025-09-02 03:30:57,1144,4.0,134.0,10,193.0,13.0,253.0,635,,,,,,D-Bus binding for the Rust language.,4.0,4.0,93.0,15,False,2,,1.0,
31,onnxruntime,nbigaouette/onnxruntime-rs,['x86_64'],aie,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,2020-08-04 03:04:15,2024-03-06 16:33:46,2022-07-19 00:34:22,447,,102.0,12,67.0,48.0,20.0,306,,,,,,Rust wrapper for Microsofts ONNX Runtime (version 1.8).,217.0,217.0,9.0,15,False,3,Apache-2.0,,
32,rustbus,KillingSpark/rustbus,['dbus'],ipc,https://github.com/KillingSpark/rustbus,https://github.com/KillingSpark/rustbus,2020-01-22 11:05:05,2024-06-22 14:58:39,2024-06-22 14:58:38,679,,14.0,5,72.0,8.0,45.0,60,2023-08-29 16:50:59,0.19.3,,,22.0,Dbus transport in pure rust.,150.0,150.0,17.0,15,False,2,MIT,,
33,rust-industrial-io,fpagliughi/rust-industrial-io,[],iio,https://github.com/fpagliughi/rust-industrial-io,https://github.com/fpagliughi/rust-industrial-io,2018-10-07 23:42:44,2025-08-30 17:16:15,2025-06-21 21:53:03,163,4.0,23.0,4,19.0,6.0,11.0,52,2024-12-10 16:52:12,0.6.0,,,9.0,Rust interface to the Linux Industrial I/O subsystem.,16.0,16.0,13.0,15,False,1,MIT,,
34,ftdi-embedded-hal,ftdi-rs/ftdi-embedded-hal,[],chip-drivers,https://github.com/ftdi-rs/ftdi-embedded-hal,https://github.com/ftdi-rs/ftdi-embedded-hal,2021-09-26 16:00:45,2025-08-21 01:47:48,2025-08-21 01:47:43,118,3.0,20.0,3,62.0,4.0,9.0,40,2025-06-01 21:19:28,0.23.2,,,19.0,Implementation of Rust Embedded HAL traits for FTDI devices.,59.0,59.0,15.0,15,False,1,MIT,,
35,r2r,sequenceplanner/r2r,[],robotics,https://github.com/sequenceplanner/r2r,https://github.com/sequenceplanner/r2r,2019-08-20 09:10:16,2025-04-22 08:30:50,2025-04-22 08:27:18,346,,50.0,14,66.0,9.0,51.0,378,,,,,,Minimal ROS 2 Rust bindings.,153.0,153.0,29.0,14,False,3,,,
36,openleadr-rs,OpenLEADR/openleadr-rs,[],smart-grid-protocols,https://github.com/OpenLEADR/openleadr-rs,https://github.com/OpenLEADR/openleadr-rs,2024-10-01 13:50:22,2025-09-03 20:57:44,2025-09-03 09:27:42,171,28.0,11.0,9,214.0,19.0,36.0,50,2025-09-03 13:49:31,0.1.0,,,4.0,OpenADR 3.0 VTN and VEN implementation in Rust.,,,11.0,13,False,2,,,
37,cargo-call-stack,japaric/cargo-call-stack,[],tools,https://github.com/japaric/cargo-call-stack,https://github.com/japaric/cargo-call-stack,2018-12-03 01:52:30,2024-10-28 17:29:02,2024-10-28 17:27:44,192,,51.0,11,57.0,37.0,23.0,637,,,,,,Whole program static stack analysis.,1.0,1.0,11.0,12,True,3,Apache-2.0,,
38,meta-rust-bin,rust-embedded/meta-rust-bin,[],yocto-layers,https://github.com/rust-embedded/meta-rust-bin,https://github.com/rust-embedded/meta-rust-bin,2016-09-02 06:04:55,2025-08-08 08:13:13,2025-08-08 08:13:13,306,6.0,75.0,22,148.0,25.0,45.0,117,,,,,,Yocto layer for installing Rust toolchain from pre-built binaries.,,,43.0,12,False,2,,,
39,mctp-rs,CodeConstruct/mctp-rs,[],platform-management,https://github.com/CodeConstruct/mctp-rs,https://github.com/CodeConstruct/mctp-rs,2024-03-18 22:52:25,2025-08-19 08:46:54,2025-08-19 08:46:54,302,155.0,7.0,5,30.0,,2.0,10,,,,,,"Rust crates for MCTP protocol support, on Linux and embedded.",8.0,8.0,3.0,11,False,1,Apache-2.0,,
40,duvet,awslabs/duvet,[],tools,https://github.com/awslabs/duvet,https://github.com/awslabs/duvet,2021-06-01 21:00:39,2025-08-29 19:20:01,2025-08-29 19:19:59,78,1.0,16.0,10,137.0,36.0,15.0,84,2024-06-08 00:09:19,0.3.0,,,2.0,A requirements traceability tool.,,,13.0,10,False,3,Apache-2.0,-1.0,
41,meta-slint,slint-ui/meta-slint,[],yocto-layers,https://github.com/slint-ui/meta-slint,https://github.com/slint-ui/meta-slint,2022-12-07 14:53:07,2025-09-04 07:03:40,2025-09-04 07:01:30,208,13.0,8.0,4,14.0,2.0,4.0,16,,,,,,A Yocto layer with recipes for building Slint.,,,6.0,10,False,3,MIT,,
